Book,Sentence
Book 1,"The code to set up Timer 2 in the function
Timer_2_Init() is the same as the delay code discussed in Chapter 6, the two
main differences being that, in this case:
1The timer will generate an interrupt when it overflows, and 
2The timer will be automatically reloaded, and will immediately begin counting
again."
Book 1,"
We discuss both of these differences in the following sub-sections."
Book 1,"a) The interrupt service routine (ISR)
The interrupt generated by the overflow of Timer 2, invokes the ISR called, here, X()."
Book 1,"149 Creating an embedded operating system
FIGURE 7.3 The result of running the program shown in Listing 7.3 in the Keil
hardware simulator
8322 Chapter 7 p143-188  21/2/02  10:02 am  Page 149/* ------------------------------------------------------- */
void X(void) interrupt INTERRUPT_Timer_2_Overflow
{// This ISR is called every 1 ms
// Place required code here…
}
The link between this function and the timer overflow is made using the Keil key-
word interrupt (included after the function header in the function definition):
void X(void) interrupt INTERRUPT_Timer_2_Overflow
plus the following #define directive:
#define INTERRUPT_Timer_2_Overflow 5
To understand where the ‘5’ comes from, note that the interrupt numbers used in
ISRs directly correspond to the enable bit index of the interrupt source in the 8051IE SFR."
Book 1,"That is, bit 0 of the IE register will be linked to a function using ‘interrupt 0’.Table 7.1 shows the link between the interrupt sources and the required interruptnumbers for the original 8051/8052."
Book 1,"Overall, the use of interrupts linked to timer overflows is a safe and powerful
technique."
Book 1,"150 Embedded C
TABLE 7.1 8051 interrupt sources."
Book 1,"Please note that many 8051s have further interrupt
sources: refer to the manufacturer’s documentation for details of the required
interrupt numbers
Interrupt source Address IE Index
Power On Reset 0x00 –
External Interrupt 0 0x03 0
Timer 0 Overflow 0x0B 1
External Interrupt 1 0x13 2
Timer 1 Overflow 0x1B 3
UART Receive/Transmit 0x23 4
Timer 2 Overflow 0x2B 58322 Chapter 7 p143-188  21/2/02  10:02 am  Page 150b) Automatic timer reloads
In the hardware delay code we considered in Chapter 6, we used a code structure
like this:
// Preload values for 50 ms delay
TH0 = 0x3C;      // Timer 0 initial value (High Byte)TL0 = 0xB0;      // Timer 0 initial value (Low Byte)
TF0 = 0;         // Clear overflow flag
TR0 = 1;         // Start timer 0
while (TF0 == 0); // Loop until Timer 0 overflows (TF0 == 1)TR0 = 0;         // Stop Timer 0
In this case, we load the counter registers with an appropriate initial value, run the
timer and wait until it overflows: we then stop the timer."
Book 1,This is appropriatebehaviour for a delay function.
Book 1,"For our operating system, we have slightly different requirements:
GWe require a series of interrupts, generated for a long period, at a precisely-determined intervals."
Book 1,GWe would like to generate these interrupts without imposing a significant loadon the CPU.
Book 1,Timer 2 matches these requirements precisely.
Book 1,"24When Timer 2 overflows, it is
automatically reloaded, and immediately begins counting again."
Book 1,"In this case, thetimer is reloaded using the contents of the ‘capture’ registers (note that the namesof these registers vary slightly between chip manufacturers):
RCAP2H = 0xFC;  // Load Timer 2 reload capt."
Book 1,reg.
Book 1,"high byte
RCAP2L = 0x18;  // Load Timer 2 reload capt."
Book 1,reg.
Book 1,"low byte
This automatic reload facility ensures that the timer keeps generating the required
ticks, at precise 1 ms intervals, with very little software load, and without anyintervention from the user’s program.151 Creating an embedded operating system
24."
Book 1,"As we discussed in Chapter 2, Timer 2 was a component added (by Intel) when the 8052 archi-
tecture was introduced shortly after the launch of the 8051."
Book 1,"Most – but not all – current‘8051s’ include this component.8322 Chapter 7 p143-188  21/2/02  10:02 am  Page 1517.3 Introducing sEOS
The techniques used in Listing 7.3 can be adapted very easily to create the simple
embedded operating system that we require."
Book 1,"For ease of reference, we will refer tothis operating system as ‘sEOS’ in this book."
Book 1,We examine the operation and use ofsEOS here.
Book 1,"a) Complete code listing
To illustrate the use and operation of sEOS, we will re-implement the followingexample using this operating system:
void main(void)
{Init_System();
while(1) // 'for ever' (Super Loop)
{X();         // Call the function (10 ms duration)Delay_50ms(); // Delay for 50 ms}
}
In this case, the sEOS code required to provide the same behaviour is given (in
part) in Listing 7.4 to Listing 7.6. (As in previous example, all of the files for thisproject are included on the CD: to avoid undue repetition, only the key files arepresented here.)
Listing 7.4 Part of a demonstration of sEOS running a dummy task
/*------------------------------------------------------------*-
Main.c (v1.00)
-------------------------------------------------------------
Demonstration of sEOS running a dummy task."
Book 1,"-*------------------------------------------------------------*/#include ""Main.H""152 Embedded C8322 Chapter 7 p143-188  21/2/02  10:02 am  Page 152#include ""Port.H""
#include ""Simple_EOS.H""
#include ""X.H""/* --------------------------------------------------------- */void main(void)
{// Prepare for dummy taskX_Init();
// Set up simple EOS (60 ms tick interval)
sEOS_Init_Timer2(60);   
while(1) // Super Loop
{// Enter idle mode to save powersEOS_Go_To_Sleep();  }
}
/*------------------------------------------------------------*-
---- END OF FILE --------------------------------------------
-*------------------------------------------------------------*/
Listing 7.5 Part of a demonstration of sEOS running a dummy task
/*------------------------------------------------------------*-
Simple_EOS.C (v1.00)
-------------------------------------------------------------
Main file for Simple Embedded Operating System (sEOS) for 8051."
Book 1,Demonstration version with dummy task X().
Book 1,"
-*------------------------------------------------------------*/#include ""Main.H""
#include ""Simple_EOS.H""
// Header for dummy task 
#include ""X.H""153 Creating an embedded operating system8322 Chapter 7 p143-188  21/2/02  10:02 am  Page 153/*------------------------------------------------------------*-
sEOS_ISR()Invoked periodically by Timer 2 overflow: 
see sEOS_Init_Timer2() for timing details."
Book 1,"-*------------------------------------------------------------*/
void sEOS_ISR() interrupt INTERRUPT_Timer_2_Overflow
{// Must manually reset the T2 flag TF2 = 0;    
//===== USER CODE – Begin ==================================// Call dummy task here
X();
//===== USER CODE – End ====================================
}
/*------------------------------------------------------------*-
sEOS_Init_Timer2()Sets up Timer 2 to drive the simple EOS.Parameter gives tick interval in MILLISECONDS.Max tick interval is ~60ms (12 MHz oscillator).Note: Precise tick intervals are only possible with certain 
oscillator / tick interval combinations."
Book 1," If timing is important, you should check the timing calculations manually."
Book 1,"
-*------------------------------------------------------------*/
void sEOS_Init_Timer2(const tByte TICK_MS)
{tLong Inc;tWord Reload_16;tByte Reload_08H, Reload_08L;
// Timer 2 is configured as a 16-bit timer,
// which is automatically reloaded when it overflowsT2CON   = 0x04;   // Load Timer 2 control register154 Embedded C8322 Chapter 7 p143-188  21/2/02  10:02 am  Page 154// Number of timer increments required (max 65536)
Inc = ((tLong)TICK_MS * (OSC_FREQ/1000)) / (tLong)OSC_PER_INST;  
// 16-bit reload value
Reload_16 = (tWord) (65536UL – Inc);
// 8-bit reload values (High & Low)
Reload_08H = (tByte)(Reload_16 / 256);Reload_08L = (tByte)(Reload_16 % 256);
// Used for manually checking timing (in simulator)
//P2 = Reload_08H;//P3 = Reload_08L;
TH2 = Reload_08H; // Load T2 high byte
RCAP2H  = Reload_08H; // Load T2 reload capt."
Book 1,reg.
Book 1,"high byte
TL2 = Reload_08L; // Load T2 low byte
RCAP2L  = Reload_08L; // Load T2 reload capt."
Book 1,reg.
Book 1,"low byte
// Timer 2 interrupt is enabled, and ISR will be called 
// whenever the timer overflows.ET2     = 1;
// Start Timer 2 running
TR2   = 1;     
EA = 1;            // Globally enable interrupts
}
/*------------------------------------------------------------*-
sEOS_Go_To_Sleep()This operating system enters 'idle mode' between clock ticks
to save power."
Book 1, The next clock tick will return the       processor to the normal operating state.
Book 1,"-*------------------------------------------------------------*/
void sEOS_Go_To_Sleep(void)
{PCON |= 0x01;    // Enter idle mode (generic 8051 version)}155 Creating an embedded operating system8322 Chapter 7 p143-188  21/2/02  10:02 am  Page 155/*------------------------------------------------------------*-
---- END OF FILE --------------------------------------------
-*------------------------------------------------------------*/
Listing 7.6 Part of a demonstration of sEOS running a dummy task
/*------------------------------------------------------------*-
X.C (v1.00)
-------------------------------------------------------------
Dummy task to introduce sEOS."
Book 1,"  
-*------------------------------------------------------------*/#include ""X.H""/*------------------------------------------------------------*-
X_Init()Dummy task init function."
Book 1,"-*------------------------------------------------------------*/
void X_Init(void)
{// Dummy task init...}
/*------------------------------------------------------------*-
X()Dummy task called from sEOS ISR."
Book 1,"-*------------------------------------------------------------*/
void X(void)
{// Dummy task...}
/*------------------------------------------------------------*-
---- END OF FILE --------------------------------------------
-*------------------------------------------------------------*/
This program uses all of the features discussed in Section 7.2, but arranges the code ina slightly different way, in order to make it easy to adapt for use in different projects.156 Embedded C8322 Chapter 7 p143-188  21/2/02  10:02 am  Page 156b) Tasks, functions and scheduling
Before we consider the implementation of this simple embedded operating system,
we should first say something about the terminology used to describe such systems."
Book 1,"
In discussions about embedded systems, you will frequently hear and read
about ‘task design’, ‘task execution times’ and ‘multi-tasking’ systems."
Book 1,"In this con-text, the term ‘task’ is usually used to refer to a function that is executed on a
periodic basis ."
Book 1,"In the case of sEOS, we are able to control the execution times of a
single task."
Book 1,This process is often referred to as ‘scheduling the task’.
Book 1,"The task willbe implemented as (or called from) an interrupt service routine: this ISR will, inturn, be invoked by the overflow of a timer."
Book 1,"
Note that the task will often call (other) functions in order to meet the needs of
the application."
Book 1,"For example, in the design of a controller for a domestic washingmachine presented in Chapter 8, we will identify one task required by the system,and ten functions to be called from this task."
Book 1,"c) Setting the tick interval
Let us now consider the operation of sEOS in more detail."
Book 1,One of the key featuresof this OS is the way that the tick interval is set.
Book 1,"In the function main() , we can
see that the control of this interval has been largely automated:
// Set up simple EOS (60 ms tick interval)
sEOS_Init_Timer2(60);  
In this example, a tick interval of 60 ms is used: this means that the ISR (the
‘update’ function) at the heart of sEOS will be invoked every 60 ms:
/*---------------------------------------------------------*-
sEOS_ISR()Invoked periodically by Timer 2 overflow: 
see sEOS_Init_Timer2() for timing details."
Book 1,"-*---------------------------------------------------------*/
void sEOS_ISR() interrupt INTERRUPT_Timer_2_Overflow
{...}
The ‘automatic’ tick interval control is achieved using the C pre-processor, and the
information included in the project header file ( Main.H ):157 Creating an embedded operating system8322 Chapter 7 p143-188  21/2/02  10:02 am  Page 157// Oscillator / resonator frequency (in Hz) e.g. (11059200UL)
#define OSC_FREQ (12000000UL)
// Number of oscillations per instruction (12, etc)
…#define OSC_PER_INST (12)
This information is then used to calculate the required timer reload values in
Simple_EOS.C as follows:
// Number of timer increments required (max 65536)
Inc = ((tLong)TICK_MS * (OSC_FREQ/1000)) / (tLong)OSC_PER_INST; 
// 16-bit reload value
Reload_16 = (tWord) (65536UL – Inc);
// 8-bit reload values (High & Low)
Reload_08H = (tByte)(Reload_16 / 256);Reload_08L = (tByte)(Reload_16 % 256);
..."
Book 1,"TH2   = Reload_08H;  // Load T2 high byte
RCAP2H  = Reload_08H;  // Load T2 reload capt."
Book 1,"reg.high byte
TL2   = Reload_08L;  // Load T2 low byte
RCAP2L  = Reload_08L;  // Load T2 reload capt."
Book 1,reg.
Book 1,"low byte
It is very important to understand that, if using a 12 MHz oscillator, then accurate
timing can usually be obtained over a range of tick intervals from 1 ms to 60 ms(approximately)."
Book 1,"However, if using other clock frequencies (such as the popular11.0592 MHz),
25precise timing can only be obtained at a much more limited
range of tick intervals."
Book 1,"If you are developing an application where precise timing isrequired, you must check the timing calculations by hand."
Book 1,"This code inSimple_EOS.C – used in the simulator – can help you check the timing:
// Used for manually checking timing (in simulator)
P2 = Reload_08H;P3 = Reload_08L;158 Embedded C
25."
Book 1,"In applications involving the serial interface, 11.0592 MHz is widely used, as we will see in
Chapter 8."
Book 1,This ‘odd’ frequency is used because it gives rise to acurate baud rate values (e.g.9600 baud).
Book 1,"If you require both accurate baud rates and asccurate EOS timing, use an 11.0592MHz crystal and a tick rate of 5, 10, 15, … 60 or 65 ms."
Book 1,Such ‘divide by 5’ tick rates are precisewith an 11.0592 MHz crystal.
Book 1,"(As an exercise, you might like to confirm this for yourself.)8322 Chapter 7 p143-188  21/2/02  10:02 am  Page 158d) Saving power
One of the problems noted with many ‘Super Loop’ applications is that that the
processor wasted a large number of CPU cycles in a delay loop:
void main(void)
{Init_System();
while(1) // 'for ever' (Super Loop)
{X();          // Perform the task (10 ms duration)Delay_50ms();  // Delay for 50 ms}
}
We noted in Chapter 2 that 8051 devices have an ‘idle’ mode where power con-
sumption may be reduced by a factor of 10 (approximately)."
Book 1,"Using sEOS, we canreduce the power consumption of the application by having the processor enteridle mode when it finishes executing the ISR (Figure 7.4)."
Book 1,"This is achieved through the function sEOS_Go_To_Sleep() : 
/*---------------------------------------------------------*-
sEOS_Go_To_Sleep()This operating system enters 'idle mode' between clock ticks
to save power."
Book 1,"The next clock tick will return the processor
to the normal operating state."
Book 1,"-*---------------------------------------------------------*/
void sEOS_Go_To_Sleep(void)
{PCON |= 0x01;   // Enter idle mode (generic 8051 version)}159 Creating an embedded operating system
FIGURE 7.4 Saving power with sEOS."
Book 1,"See text for detailsSystem ‘ticks’ TimeTask Task Task ...Idle Idle Idle8322 Chapter 7 p143-188  21/2/02  10:02 am  Page 159Note that the processor will automatically return to ‘Normal’ mode when the
timer next overflows (generating an interrupt)."
Book 1,"Overall, this application is ‘asleep’ for 99.9% of the time, meaning that the total
load imposed by this operating system is around 0.1% of the available CPU capac-ity (Figure 7.5)."
Book 1,"
If we assume that the system is implemented using an Atmel AT89S53 chip, then –
referring back to Table 2.1 – we can see that the power consumption figures areas follows:
In this case, we would expect the average current consumption to be given by:
2 × 99.9 + 11 × 0.1
Average current consumption = ---------------------------------------- = 2.009 mA
100
If the system runs at 5V , the average power consumption will then be: 10.045 mW."
Book 1,"Note that this is the power consumption of the processor itself: if you add LEDs
or other devices to the system, then the power consumption will inevitablyincrease."
Book 1,"In these circumstances, theoretical calculations will only be a guide, andwill you need to take some measurements from a prototype system to determinethe true figure.160 Embedded C
FIGURE 7.5 The sEOS example is in idle mode for 99.9% of the time, meaning that the
total load imposed by this operating system is around 0.1% of the available CPU capacity[12 MHz / 12 osc]
Device Normal Idle Power Down
Atmel 89S53 11 mA 2 mA 60 uA8322 Chapter 7 p143-188  21/2/02  10:02 am  Page 160e) Using sEOS in your own projects
When using sEOS in your own applications, you will need to include a copy of the
files Simple_EOS.C and Simple_EOS.H in your project: the .C file will then need
to be edited – in the area indicated below – in order to match your requirements:
void sEOS_ISR() interrupt INTERRUPT_Timer_2_Overflow
{// Must manually reset the T2 flag TF2 = 0;    
//===== USER CODE – Begin ================================// ADD YOUR FUNCTION CALLS HERE...//===== USER CODE – End ==================================
}
7.4 Using Timer 0 or Timer 1
The example code above used Timer 2 as the source of ticks for the operatingsystem."
Book 1,"In most cases, this is good choice: however, if Timer 2 is not available onyour 8051 device, or is in use for some other purpose, Timer 0 or Timer 1 can beused in its place."
Book 1,"Like Timer 2, Timer 0 and Timer 1 also have an auto-reload capability."
Book 1,"However,
Timer 2 has this facility when used in 16-bit mode whereas Timer 0 and Timer 1can only be reloaded automatically when operating in 8-bit mode."
Book 1,"In typical 8051applications, an 8-bit timer can only be used to generate interrupts at intervals ofaround 0.25 ms (or less)."
Book 1,This can be useful for some applications where very rapidprocessing is required.
Book 1,"However, in most cases, this short tick interval will simplyincrease the processor load imposed by the operating system."
Book 1,"To illustrate the increased load imposed by short tick intervals, Figure 7.6
repeats the example shown in Figure 7.5, this time using a 0.25 ms tick interval.Note that by using the shorter tick interval, the percentage of ‘sleep’ time hasfallen from 99.9% to 74.5%: this reflects the fact that the scheduler ISR is calledmore frequently."
Book 1,"Although the auto-reload modes of Timer 0 and Timer 1 are less useful than the
equivalent mode in Timer 2, Timer 0 and Timer 1 can also be used in ‘manualreload’ mode."
Book 1,"Manual-reload mode means that – when it overflows – the timermust be stopped, loaded with the required count value and then restarted."
Book 1,Withthis approach it is almost impossible to guarantee precise tick intervals.
Book 1,"However,the level of timing accuracy obtained is adequate for many applications.161 Creating an embedded operating system8322 Chapter 7 p143-188  21/2/02  10:02 am  Page 161Listing 7.7 shows the key source code from an operating system based on Timer 0,
with manual reloads."
Book 1,The code may be easily adapted to work with Timer 1 if required.
Book 1,Listing 7.7 Driving sEOS using Timer 0.
Book 1,See text for details.
Book 1,"/*------------------------------------------------------------*-
Simple_EOS.C (v1.00)
-------------------------------------------------------------
Main file for Simple Embedded Operating System (sEOS) for 8051."
Book 1,*** This version uses T0 (easily adapted for T1) ***Demonstration version with dummy task X().
Book 1,"
-*------------------------------------------------------------*/#include ""Main.H""
#include ""Simple_EOS.H""
// Header for dummy task 
#include ""X.H""
// ------ Private variable definitions ------------------------
static tByte Reload_08H;static tByte Reload_08L;
// ------ Private function prototypes -------------------------
static void sEOS_Manual_Timer0_Reload(void);162 Embedded C
FIGURE 7.6 The impact of a 0.25ms tick interval [12 Mhz / 12 osc 8051]."
Book 1,"See text for details
8322 Chapter 7 p143-188  21/2/02  10:02 am  Page 162/*------------------------------------------------------------*-
sEOS_ISR()Invoked periodically by Timer 0 overflow: 
see sEOS_Init_Timer0() for timing details."
Book 1,"-*------------------------------------------------------------*/
void sEOS_ISR() interrupt INTERRUPT_Timer_0_Overflow
{// Flag cleared automatically but must reload the timersEOS_Manual_Timer0_Reload();//===== USER CODE – Begin ==================================
// Call dummy task here
X();
//===== USER CODE – End ====================================
}
/*------------------------------------------------------------*-
sEOS_Init_Timer0()Sets up Timer 0 to drive the simple EOS.Parameter gives tick interval in MILLISECONDS.Max tick interval is ~60ms (12 MHz oscillator).Note: Precise tick intervals are only possible with certain 
oscillator / tick interval combinations."
Book 1,"If timing is important,
you should check the timing calculations manually."
Book 1,"
-*------------------------------------------------------------*/
void sEOS_Init_Timer0(const tByte TICK_MS)
{tLong Inc;tWord Reload_16;
// Using Timer 0, 16-bit *** manual reload ***
TMOD &= 0xF0; // Clear all T0 bits (T1 left unchanged)TMOD |= 0x01; // Set required T0 bits (T1 left unchanged) 
// Number of timer increments required (max 65536)
Inc = ((tLong)TICK_MS * (OSC_FREQ/1000)) / (tLong)OSC_PER_INST;  163 Creating an embedded operating system8322 Chapter 7 p143-188  21/2/02  10:02 am  Page 163// 16-bit reload value
Reload_16 = (tWord) (65536UL – Inc);
// 8-bit reload values (High & Low)
Reload_08H = (tByte)(Reload_16 / 256);Reload_08L = (tByte)(Reload_16 % 256);
// Used for manually checking timing (in simulator)
//P2 = Reload_08H;//P3 = Reload_08L;
TL0  = Reload_08L; 
TH0  = Reload_08H;
// Timer 0 interrupt is enabled, and ISR will be called 
// whenever the timer overflows.ET0 = 1;
// Start Timer 0 running
TR0 = 1;     
EA = 1;            // Globally enable interrupts
}
/*------------------------------------------------------------*-
sEOS_Manual_Timer0_Reload()This OS uses a (manually reloaded) 16-bit timer."
Book 1,The manual reload means that all timings are approximate.
Book 1,"
THIS OS IS NOT SUITABLE FOR APPLICATIONS WHERE
ACCURATE TIMING IS REQUIRED!!!
Timer reload is carried out in this function."
Book 1,"
-*------------------------------------------------------------*/
void sEOS_Manual_Timer0_Reload()
{// Stop Timer 0TR0 = 0;
// See 'init' function for calculations
TL0  = Reload_08L; TH0  = Reload_08H;164 Embedded C8322 Chapter 7 p143-188  21/2/02  10:02 am  Page 164//  Start Timer 0
TR0  = 1;}
/*------------------------------------------------------------*-
sEOS_Go_To_Sleep()This operating system enters ‘idle mode’ between clock ticks
to save power."
Book 1,The next clock tick will return the processorto the normal operating state.
Book 1,"-*------------------------------------------------------------*/
void sEOS_Go_To_Sleep(void)
{PCON |= 0x01;    // Enter idle mode (generic 8051 version)}
/*------------------------------------------------------------*-
---- END OF FILE --------------------------------------------
-*------------------------------------------------------------*/
Figure 7.7 shows this example running in the simulator."
Book 1,"A complete set of files for this project will be found on the CD.165 Creating an embedded operating system
FIGURE 7.7 Driving sEOS using Timer 0
8322 Chapter 7 p143-188  21/2/02  10:02 am  Page 1657.5 Is this approach portable?"
Book 1,"The presence of an on-chip timer which can be used to generate interrupts in this
way is by no means restricted to the 8051 family: almost all processors intendedfor use in embedded applications have timers which can be used in a manner verysimilar to that described in this chapter."
Book 1,"
For example, similar timers are included on other 8-bit microcontrollers (e.g.
Microchip PIC family, the Motorola HC08 family), and also on 16-bit devices (e.g.the Infineon C167 family) as well as on 32-bit processors (e.g. the ARM family, theMotorola MPC500 family)."
Book 1,"26
7.6 Alternative system architectures
The very simple operating system discussed in this chapter has two key features:
GA time-triggered architecture."
Book 1,GA co-operative scheduling algorithm.
Book 1,"To explain what these phrases mean, and consider some alternative approaches, we
will examine how tasks in this system are started, and how they come to an end."
Book 1,"a) Starting tasks
The ‘time-triggered’ nature of this system means that functions are started (or‘triggered’) at pre-determined points in time."
Book 1,"
The main alternative to this architecture is referred to as ‘event-triggered’."
Book 1,"In
embedded systems, event-triggered behaviour is often achieved through the use ofinterrupts."
Book 1,"To support these, event-triggered system architectures often providemultiple interrupt service routines."
Book 1,"To understand the difference between event- and time-triggered architectures,
we will first consider an analogy."
Book 1,"Suppose that a hospital doctor must look afterthe needs of ten seriously-ill patients overnight, with the support of some nursingstaff."
Book 1,"The doctor might consider two ways of performing this task:
GThe doctor might arrange for one of the nursing staff to waken her if there is asignificant problem with one of the patients."
Book 1,This is the ‘event triggered’ solution.
Book 1,GThe doctor might set her alarm clock to ring every hour.
Book 1,"When the alarm goesoff, she will get up and visit each of the patients, in turn, to check that they arewell and, if necessary, prescribe treatment."
Book 1,"This is the ‘time triggered’ solution.166 Embedded C
26."
Book 1,"For sources of further information about the use of the embedded operating system described
here on other processors, please refer to Chapter 11.8322 Chapter 7 p143-188  21/2/02  10:02 am  Page 166For most doctors, the event-triggered approach will seem the most attractive,
because they are likely to get a few hours of sleep during the course of the night.By contrast, with the time-triggered approach, the doctor will inevitably suffersleep deprivation."
Book 1,"However, in the case of many embedded systems – which do not need sleep –
the time-triggered approach has many advantages."
Book 1,"Indeed, within industrial sec-tors where safety is an obvious concern, such as the aerospace industry and theautomotive industry, time-triggered techniques are widely used because it isaccepted, both by the system developers (and certification authorities), that theyhelp improve reliability and safety."
Book 1,"The main reason that time-triggered approaches are preferred in safety-related
applications is that they result in systems which have very predictable behaviour."
Book 1,"If
we revisit the hospital analogy, we can begin to see why this is so."
Book 1,"
Suppose that our ‘event triggered’ doctor is sleeping peacefully."
Book 1,"An apparently
minor problem develops with one of the patients, and the nursing staff decide notto awaken the doctor but to deal with the problem themselves."
Book 1,"After another twohours, when four patients have ‘minor’ problems, the nurses decide that they willhave to wake the doctor after all."
Book 1,"As soon as the doctor sees the patients, she rec-ognizes that two of them have a severe complications, and she has to beginsurgery."
Book 1,"Before she can complete the surgery on the first patient, the secondpatient is very close to death."
Book 1,Consider the same example with the ‘time triggered’ doctor.
Book 1,"In this case, because
the patient visits take place at hourly intervals, the doctor sees each patient beforeserious complications arise, and arranges appropriate treatment."
Book 1,"Another way of
viewing this is that the workload is spread out evenly throughout the night ."
Book 1,"As
a result, all of the patients survive the night without difficulty."
Book 1,"In embedded applications, the (rather macabre) hospital situation is mirrored in
the event-driven application by the occurrence of several events (that is, severalinterrupts) at the same time."
Book 1,"This might indicate, for example, that two differentfaults had been detected simultaneously in an aircraft, or simply that two switcheshad been pressed at the same time on a keypad."
Book 1,"
To see why the simultaneous occurrence of two interrupts causes a problem,
consider what happens in the 8051 architecture in these circumstances."
Book 1,"Like manymicrocontrollers, the original 8051 architecture supports two different interruptpriority levels: Low and High."
Book 1,"If two interrupts (we will call them Interrupt 1 andInterrupt 2) occur in rapid succession, the system will behave as follows:167 Creating an embedded operating system8322 Chapter 7 p143-188  21/2/02  10:02 am  Page 167GIf Interrupt 1 is a low-priority interrupt and Interrupt 2 is a high-priority interrupt."
Book 1,"
GIf Interrupt 1 is a low-priority interrupt and Interrupt 2 is also a low-priority
interrupt."
Book 1,"
GIf Interrupt 1 is a high-priority interrupt and Interrupt 2 is a low-priority interrupt."
Book 1,"
GIf Interrupt 1 is a high-priority interrupt and Interrupt 2 is also a high-priorityinterrupt."
Book 1,"168 Embedded C
Note carefully what this means! There is a common misconception among thedevelopers of embedded applications that interrupt events will never be lost.This simply is not true."
Book 1,"If you have multiple sources of interrupts that mayappear at ‘random’ time intervals, interrupt responses can be missed: indeed,where there are several active interrupt sources, it is practically impossible tocreate code that will deal correctly with all possible combinations of interrupts.The ISR invoked by a low-priority interrupt cannot be interrupted by another low-priority interrupt."
Book 1,"As a result the response to the second interrupt will be at the
very least delayed; under some circumstances it will be ignored altogether ."
Book 1,"The interrupt service routine (ISR) invoked by a high-priority interrupt cannot be
interrupted by a low-priority interrupt."
Book 1,"As a result the response to the second
interrupt will be at the very least delayed; under some circumstances it willbe ignored altogether ."
Book 1,"The interrupt service routine (ISR) invoked by a high-priority interrupt cannot be
interrupted by another high-priority interrupt."
Book 1,"As a result the response to the
second interrupt will be at the very least delayed; under some circum-stances it will be ignored altogether .The interrupt service routine (ISR) invoked by a low-priority interrupt can be
interrupted by a high-priority interrupt."
Book 1,"In this case, the low-priority ISR will bepaused, to allow the high-priority ISR to be executed, after which the operationof the low-priority ISR will be completed."
Book 1,"In most cases, the system will operatecorrectly ( provided that the two ISRs do not interfere with one another ).8322 Chapter 7 p143-188  21/2/02  10:02 am  Page 168It is the need to deal with the simultaneous occurrence of more than one event
that both adds to the system complexity and reduces the ability to predict thebehaviour of an event-triggered system under all circumstances."
Book 1,"By contrast, in atime-triggered embedded application, the designer is able to ensure that onlysingle events must be handled at a time, in a carefully controlled sequence."
Book 1,"b) Stopping tasks
As we noted at the start of this section, sEOS has a time-triggered, co-operativelyscheduled, architecture."
Book 1,We have discussed the meaning of ‘time triggered’.
Book 1,Nowwe turn our attention to the co-operative nature of this system.
Book 1,"When we say that an operating system is co-operative, we mean that a task,
once started, will run until it is complete: that is, the OS will never interrupt anactive task."
Book 1,This is a ‘single task’ approach to operating system design.
Book 1,The alterna-tive is a ‘pre-emptive’ or ‘time sliced’ approach.
Book 1,"In a pre-emptive system, tasks willtypically run for – say – a millisecond."
Book 1,"The OS will then pause this task, and runanother task for a millisecond, and so on."
Book 1,"From the perspective of the user, thepre-emptive OS appears to be running multiple tasks at the same time."
Book 1,"Co-operative scheduling is simpler and is generally considered to be more pre-
dictable than pre-emptive scheduling."
Book 1,"To understand why this is, consider that wewish to run two tasks on a pre-emptive system, and that both tasks require accessto the same port."
Book 1,"Suppose that one task is reading from this port, and that thescheduler performs a ‘context switch’, causing the second task to access the sameport: under these circumstances, unless we take action to prevent it, data may belost or corrupted."
Book 1,"
This problem arises frequently in multi-tasking environments where we have
what are known as ‘critical sections’ of code."
Book 1,"Such critical sections are codesegments that – once started – must run to completion, without interruption.Examples of critical sections include:
GCode which modifies or reads variables, particularly global variables used forinter-task communication."
Book 1,"In general, this is the most common form of criticalsection, since inter-task communication is often a key requirement."
Book 1,"GCode which interfaces to hardware, such as ports, analog-to-digital converters(ADCs), and so on."
Book 1,"What happens, for example, if the same ADC is used simul-taneously by more than one task?"
Book 1,GCode which calls common functions.
Book 1,"What happens, for example, if the samefunction is called simultaneously by more than one task?"
Book 1,"In a co-operative system, these problems do not arise, since only one task is ever
active at a time."
Book 1,"169 Creating an embedded operating system8322 Chapter 7 p143-188  21/2/02  10:02 am  Page 169To deal with critical sections of code in a pre-emptive system, we have two
main possibilities:
G‘Pause’ the scheduling by disabling the scheduler interrupt before beginningthe critical section; re-enable the scheduler interrupt when we leave the criticalsection, or;
GUse a ‘lock’ (or some other form of ‘semaphore mechanism’) to achieve a simi-lar result."
Book 1,"
The first solution means that, when we start accessing the shared resource (say
Port X), we disable the scheduler."
Book 1,This solves the immediate problem since (say)Task A will be allowed to run without interruption until it has finished with PortX.
Book 1,"However, this ‘solution’ is less than perfect."
Book 1,"For one thing, by disabling thescheduler, we will no longer be keeping track of the elapsed time and all timingfunctions will begin to drift – in this case by a period up to the duration of Task Aevery time we access Port X."
Book 1,This simply is not acceptable.
Book 1,"The use of locks is a better solution and appears, at first inspection, easy to
implement."
Book 1,"Before entering the critical section of code, we ‘lock’ the associatedresource; when we have finished with the resource we ‘unlock’ it."
Book 1,"While locked,no other process may enter the critical section."
Book 1,"27
This is one way we might try to achieve this: 
1Task A checks the ‘lock’ for Port X it wishes to access."
Book 1,"2If the section is locked, Task A waits."
Book 1,"3When the port is unlocked, Task A sets the lock and then uses the port."
